Date,Time,UserPhone,UserName,MessageBody
%2019-02-12,%13:14:29,%6188888770478643302,%EMT VALÈNCIA,%e2e_notification%
BONOS
%2019-02-12,%13:14:27,%5897021776988721309,%Marie ❄,%Hola, buenas tardes. Quería hacerles una consulta. Tengo el bono EMT joven. En marzo cumplo los 25. Puedo seguir recargàndola?%
%2019-02-12,%13:16:12,%6188888770478643302,%EMT VALÈNCIA,%Buenos días, el bono  EMT Jove es para menores de 25 años, una vez cumplidos ya no se puede recargar.%
%2019-02-12,%13:16:34,%5897021776988721309,%Marie ❄,%Y hay alguno parecido?%
%2019-02-12,%13:18:29,%6188888770478643302,%EMT VALÈNCIA,%Abono Transporte Jove, la tarjeta tiene un coste de 5€ y el abono para Zona A(30 días consecutivos viajes ilimitados en EMT y Metro) es 38.25€ Hace falta original y copia del DNI y del Carnet Jove y una foto de Carnet. \nPara tramitarlo lo más rápido es ir a ATMV, están en el Metro de Colón. Teléfono 961923292%
%2019-02-12,%13:18:52,%5897021776988721309,%Marie ❄,%Muchísimas gracias%
%2019-02-12,%13:22:36,%5897021776988721309,%Marie ❄,%Con el carnet jove se queda en 38.25? Hay otra tarjeta que sea más económica?%
%2019-02-12,%13:23:17,%6188888770478643302,%EMT VALÈNCIA,%No existe ninguna otra tarjeta mensual.%
%2019-02-12,%13:23:41,%5897021776988721309,%Marie ❄,%Gracias%
%2019-02-12,%13:25:14,%5897021776988721309,%Marie ❄,%Una última consulta: me caduca el día 13 de este mes, ahí todavía puedo recargar la jove, no? Porque yo cumplo los 25 el día 7 de marzo%
%2019-02-12,%13:27:02,%6188888770478643302,%EMT VALÈNCIA,%Cual quier día antes del cumpleaños se puede cargar, una vez los cumplas no puedes realizar cargas pero si utilizar la ultima carga que hayas hecho.%
%2019-02-12,%13:27:19,%5897021776988721309,%Marie ❄,%Muchísimas gracias%
%2019-02-12,%13:28:33,%6188888770478643302,%EMT VALÈNCIA,%Gracias a ti, feliz tarde!%
