Date,Time,UserPhone,UserName,MessageBody
%2019-03-25,%12:47:47,%6188888770478643302,%EMT VALÈNCIA,%e2e_notification%
ESTIMACION
%2019-03-25,%12:47:46,%7884476664469304160,%🌈✨,%Hola buenos días%
%2019-03-25,%12:47:57,%7884476664469304160,%🌈✨,%Porfavor el 1764%
%2019-03-25,%12:48:07,%7884476664469304160,%🌈✨,%Cuento tarde el 95%
%2019-03-25,%12:48:34,%6188888770478643302,%EMT VALÈNCIA,%Hola, en 4 minutos llega tu bus. Saludos.%
%2019-03-25,%12:48:54,%7884476664469304160,%🌈✨,%Gracias%
%2019-03-29,%10:25:54,%7884476664469304160,%🌈✨,%Buenos días porfavor 559%
%2019-03-29,%10:25:55,%7884476664469304160,%🌈✨,%Cuánto tarda%
%2019-03-29,%10:30:07,%6188888770478643302,%EMT VALÈNCIA,%Hola, en 2 minutos llega tu bus. Saludos.%
%2019-03-29,%12:29:59,%7884476664469304160,%🌈✨,%1764.    95%
%2019-03-29,%12:30:04,%7884476664469304160,%🌈✨,%Porfavor%
%2019-03-29,%12:31:07,%6188888770478643302,%EMT VALÈNCIA,%Hola , el bus está llegando a la parada. Saludos.%
%2019-03-29,%12:31:19,%7884476664469304160,%🌈✨,%Gracias%
%2019-04-08,%12:46:18,%7884476664469304160,%🌈✨,%Hola  buenas 1764 95%
%2019-04-08,%12:46:28,%7884476664469304160,%🌈✨,%Cuánto tarda gracias%
%2019-04-08,%12:48:16,%6188888770478643302,%EMT VALÈNCIA,%Hola, el próximo bus pasa en 2 minutos. Saludos.%
%2019-04-08,%12:49:47,%7884476664469304160,%🌈✨,%Gracias%
%2019-04-08,%12:50:01,%6188888770478643302,%EMT VALÈNCIA,%Gracias a ti, saludos!%
%2019-04-12,%13:20:34,%7884476664469304160,%🌈✨,%Hola buenos días%
%2019-04-12,%13:20:44,%7884476664469304160,%🌈✨,%1764.   95%
%2019-04-12,%13:24:53,%6188888770478643302,%EMT VALÈNCIA,%Hola, pasa un bus en 2 y 9 minutos. Saludos!%
