Date,Time,UserPhone,UserName,MessageBody
%2019-04-12,%11:10:56,%6188888770478643302,%EMT VALÈNCIA,%e2e_notification%
RUTAS
%2019-04-12,%11:05:40,%1080349432763256262,%Hafsa,%Hola buenos días%
%2019-04-12,%11:07:53,%1080349432763256262,%Hafsa,%Me puedes decir el número del autobus y de la parada  para ir a zapadores a la comisaría%
%2019-04-12,%11:08:07,%1080349432763256262,%Hafsa,%Como llegar%
%2019-04-12,%11:12:16,%6188888770478643302,%EMT VALÈNCIA,%Hola, desde dónde?%
%2019-04-12,%11:12:48,%1080349432763256262,%Hafsa,%Desde tavernes blanques%
%2019-04-12,%11:14:58,%6188888770478643302,%EMT VALÈNCIA,%Hola, puedes coger la línea 16 para enlazar con la línea 6 que te deja en Amado Granell Mesado.%
%2019-04-12,%11:15:00,%6188888770478643302,%EMT VALÈNCIA,%Saludos!%
%2019-04-12,%11:15:29,%1080349432763256262,%Hafsa,%Gracias%
