Date,Time,UserPhone,UserName,MessageBody
%2019-03-27,%16:38:28,%6188888770478643302,%EMT VALÈNCIA,%e2e_notification%
ESTIMACION
%2019-03-27,%16:41:21,%4085082316068560797,%dolzmartinezmaria,%Buenas tardes....a que hora pasa el primer autobús por avda. Constitución-Salesianos%
%2019-03-27,%16:45:09,%6188888770478643302,%EMT VALÈNCIA,%Buenas tardes, el primer autobús de la línea 28 sale de Ciudad del artista Fallero a las 5:30. Un saludo%
%2019-03-27,%16:45:58,%4085082316068560797,%dolzmartinezmaria,%Gracias pero me interesa el 6 0 16%
%2019-03-27,%16:49:30,%6188888770478643302,%EMT VALÈNCIA,%Línea 6 desde Cecili Pla  a las 5:30 tiene su primera salida programada y la línea 16 tiene su primera salida programada  las 5:40 desde Cases de Bárcena. Un saludo%
%2019-03-27,%16:50:04,%4085082316068560797,%dolzmartinezmaria,%Muchas gracias%
%2019-03-27,%16:51:51,%4085082316068560797,%dolzmartinezmaria,%Si no fuera mucho preguntar....me pueden informar de la duración del trayecto hasta la renfe....%
%2019-03-27,%16:53:11,%6188888770478643302,%EMT VALÈNCIA,%Hola! no disponemos de las estimaciones de la duración de los trayectos. Un saludo%
%2019-03-27,%16:53:31,%4085082316068560797,%dolzmartinezmaria,%Ok...Gracias%
