Date,Time,UserPhone,UserName,MessageBody
%2019-03-17,%17:36:48,%6188888770478643302,%EMT VALÈNCIA,%e2e_notification%
RUTAS
%2019-03-28,%12:01:37,%3220988143594219827,%yoyo,%Hola buenos días que autobús va al local Jerusalémpop&Rock desde el ayuntamiento%
%2019-03-28,%12:02:37,%6188888770478643302,%EMT VALÈNCIA,%Hola, nos puedes concretar la calle?%
%2019-03-28,%12:03:10,%3220988143594219827,%yoyo,%Si C/convento Jerusalén,55%
%2019-03-28,%12:03:21,%3220988143594219827,%yoyo,%Valencia 46007%
%2019-03-28,%12:04:19,%6188888770478643302,%EMT VALÈNCIA,%Por la cercanía de las calles puedes ir andando.%
%2019-03-28,%12:04:34,%3220988143594219827,%yoyo,%Ah perfecto%
%2019-03-28,%12:04:43,%6188888770478643302,%EMT VALÈNCIA,%Feliz día.%
%2019-03-28,%12:04:49,%3220988143594219827,%yoyo,%Gracias igualmente%
