Date,Time,UserPhone,UserName,MessageBody
%2019-03-20,%10:55:11,%6188888770478643302,%EMT VALÈNCIA,%e2e_notification%
ESTIMACION
%2019-03-20,%10:55:11,%4039476872506368299,%Candela 💚,%Cuando pasa el próximo 99 en la parada 1272%
%2019-03-20,%10:56:35,%6188888770478643302,%EMT VALÈNCIA,%Hay un bus próximo y el siguiente en 6 minutos. Saludos%
%2019-03-21,%14:14:09,%4039476872506368299,%Candela 💚,%Cuando pasa el próximo 99 en la parada 1272%
%2019-03-21,%14:20:47,%6188888770478643302,%EMT VALÈNCIA,%Hola, el próximo bus pasa en 4 minutos. Saludos.%
%2019-03-22,%14:04:35,%4039476872506368299,%Candela 💚,%Cuando pasa el próximo 99 en la parada 515%
%2019-03-22,%14:33:05,%6188888770478643302,%EMT VALÈNCIA,%Buenos días, disculpa por la demora. Debido a un problema en el servidor , tu WhatsApp nos ha llegado ahora. Si aún sigues teniendo la duda, aquí estamos. ¡Feliz día!%
%2019-03-25,%14:02:00,%4039476872506368299,%Candela 💚,%Cuando pasa el próximo 99 en la parada 515%
%2019-03-25,%14:03:31,%6188888770478643302,%EMT VALÈNCIA,%Hola, en 6 minutos llega tu bus. Saludos%
%2019-03-26,%14:01:16,%4039476872506368299,%Candela 💚,%Cuando pasa el próximo 99 en la parada 515%
%2019-03-26,%14:01:50,%6188888770478643302,%EMT VALÈNCIA,%Hola, tienes el próximo en 10 minutos%
%2019-03-27,%14:02:14,%4039476872506368299,%Candela 💚,%Cuando pasa el próximo 99 en la parada 515%
%2019-03-27,%14:02:55,%6188888770478643302,%EMT VALÈNCIA,%Hola, pasa un bus en 3 minutos. Un saludo!%
%2019-03-28,%14:52:28,%4039476872506368299,%Candela 💚,%Cuando pasa el próximo 99 en la parada 515%
%2019-03-28,%15:07:22,%6188888770478643302,%EMT VALÈNCIA,%Hola , disculpa la demora, pasa un bus en 7 minutos. Saludos%
%2019-03-29,%14:01:52,%4039476872506368299,%Candela 💚,%Cuando pasa el próximo 99 en la parada 515%
%2019-03-29,%14:02:46,%6188888770478643302,%EMT VALÈNCIA,%Hola, llega un bus en 5 minutos. Saludos.%
%2019-04-01,%10:23:05,%4039476872506368299,%Candela 💚,%Cuando pasa el próximo 89 en la parada 1679%
%2019-04-01,%10:24:32,%6188888770478643302,%EMT VALÈNCIA,%Faltan 2 minutos. Saludos%
%2019-04-02,%13:52:06,%4039476872506368299,%Candela 💚,%Cuando pasa el próximo 99 en la parada 515%
%2019-04-02,%13:53:35,%6188888770478643302,%EMT VALÈNCIA,%Buenas tardes, pasa en 4 minutos. Un saludo%
%2019-04-02,%13:54:42,%4039476872506368299,%Candela 💚,%Y el próximo%
%2019-04-02,%14:00:03,%6188888770478643302,%EMT VALÈNCIA,%15 minutos a Horno de Alcedo y en 29 minutos dirección Pinedo. Un saludo%
%2019-04-03,%14:00:08,%4039476872506368299,%Candela 💚,%Cuando pasa el próximo 99 en la parada 514%
%2019-04-03,%14:14:29,%6188888770478643302,%EMT VALÈNCIA,%Hola, tienes el próximo en 3 minutos%
%2019-04-04,%14:55:38,%4039476872506368299,%Candela 💚,%Cuando pasa el próximo 99 en la parada 514%
%2019-04-04,%14:56:07,%6188888770478643302,%EMT VALÈNCIA,%Buenos días, faltan 6 minutos. Un saludo%
%2019-04-04,%15:00:14,%4039476872506368299,%Candela 💚,%Y el próximo%
%2019-04-04,%15:04:26,%6188888770478643302,%EMT VALÈNCIA,%Faltan 12 minutos%
%2019-04-10,%13:32:08,%4039476872506368299,%Candela 💚,%Cuando pasa el próximo 99 en la parada 514%
%2019-04-10,%13:49:06,%6188888770478643302,%EMT VALÈNCIA,%Hola, el próximo bus pasa en 8 minutos.  Saludos.%
%2019-04-11,%15:00:23,%4039476872506368299,%Candela 💚,%Cuando pasa el próximo 99 en la parada 514%
%2019-04-11,%15:02:12,%6188888770478643302,%EMT VALÈNCIA,%Hola, pasa un bus en 13 minutos. Saludos!%
%2019-04-12,%13:47:15,%4039476872506368299,%Candela 💚,%Cuando pasa el próximo 99 en la parada 514%
%2019-04-12,%13:48:05,%6188888770478643302,%EMT VALÈNCIA,%Hola, hay un bus próximo y otro en 10 minutos. Saludos!%
