Date,Time,UserPhone,UserName,MessageBody
%2019-02-06,%%15:06:01%,%3916658067753117573,%%EMT VALÈNCIA%,%%e2e_notification%%%
RUTAS
%2019-02-06,%%15:06:00%,%8923614317400972992,%%Mayte%,%%Buenas tardes.\nQue linea de bus puedo cojer desde Plz. Ayuntamiento para ir a la exposición del ninot en la Cdad. de las Artes?%%%
%2019-02-06,%%15:13:57%,%3916658067753117573,%%EMT VALÈNCIA%,%%Hola, puedes coger a línea 35 en Marques de Sotelo- Pasaje Rex%%%
%2019-02-06,%%15:14:32%,%8923614317400972992,%%Mayte%,%%Gracias%%%
%2019-02-06,%%15:16:13%,%3916658067753117573,%%EMT VALÈNCIA%,%%Gracias a ti!%%%
%2019-02-12,%%15:19:34%,%8923614317400972992,%%Mayte%,%%Buenas tardes.\nPara ir de Plza España a la Escuela Oficial de Idiomas (llano de Zaidia) que linea de bus puedo cojer?%%%
%2019-02-12,%%15:23:50%,%3916658067753117573,%%EMT VALÈNCIA%,%%Buenas tardes , puedes coger la línea 80 en Espanya - Ermita y bajar en Pla de Saïdia (riu) - Constitució%%%
%2019-02-12,%%15:24:08%,%8923614317400972992,%%Mayte%,%%Gracias!!!%%%
%2019-02-12,%%15:25:27%,%3916658067753117573,%%EMT VALÈNCIA%,%%Gracias ti , feliz tarde!%%%
