Date,Time,UserPhone,UserName,MessageBody
%2019-03-22,%11:45:21,%6188888770478643302,%EMT VALÈNCIA,%e2e_notification%
RUTAS
%2019-03-22,%11:45:19,%4515272047032385411,%patricia gustavo 7021,%Estoy en plaza España donde puedo coger el 60 que va ala quad?%
%2019-03-22,%11:46:26,%6188888770478643302,%EMT VALÈNCIA,%Buenos días, puedes concretar tu destino?%
%2019-03-22,%11:47:26,%4515272047032385411,%patricia gustavo 7021,%Avenida país de Valencia%
%2019-03-22,%11:47:33,%4515272047032385411,%patricia gustavo 7021,%Un Bankia%
%2019-03-22,%11:48:59,%6188888770478643302,%EMT VALÈNCIA,%Te refieres a Regne de València?%
%2019-03-22,%13:36:16,%4515272047032385411,%patricia gustavo 7021,%Carrer mayor número 77 mira tomé el 161 y me dejó bien gracias por tu atención como siempre saludos%
%2019-03-22,%13:37:47,%6188888770478643302,%EMT VALÈNCIA,%Gracias a ti , feliz día!%
%2019-03-22,%13:38:22,%4515272047032385411,%patricia gustavo 7021,%👍%
