Date,Time,UserPhone,UserName,MessageBody
%2019-03-21,%13:32:50,%6188888770478643302,%EMT VALÈNCIA,%e2e_notification%
RUTAS
%2019-04-02,%11:45:01,%6605886048941453841,%❤,%Hola buenos días%
%2019-04-02,%11:45:14,%6605886048941453841,%❤,%Para ir a port saplaya que bus cojo?%
%2019-04-02,%11:45:28,%6605886048941453841,%❤,%Estoy en la calle jativa%
%2019-04-02,%11:46:20,%6188888770478643302,%EMT VALÈNCIA,%Buenos días, la EMT no llega a Port saplaya. Podrías preguntan a la empresa ATMV 961923292. Un saludo%
%2019-04-02,%11:46:36,%6605886048941453841,%❤,%Gracias!!%
%2019-04-02,%11:46:49,%6188888770478643302,%EMT VALÈNCIA,%Gracias a ti , feliz día!%
%2019-04-02,%17:08:06,%6605886048941453841,%❤,%Hola Quiero ir a la calle San Vicente,  número \n312, estoy en la plaza los pinazo%
%2019-04-02,%17:08:14,%6605886048941453841,%❤,%Que bus cojo?%
%2019-04-02,%17:13:07,%6188888770478643302,%EMT VALÈNCIA,%Hola, puedes coger la línea 10 en Els Pinazo-Colón y bajar en Carters (par)- Primer de Maig. Saludos.%
%2019-04-02,%17:13:49,%6605886048941453841,%❤,%Muy bien gracias!!!!%
%2019-04-02,%17:17:54,%6188888770478643302,%EMT VALÈNCIA,%Gracias a ti!%
%2019-04-03,%09:59:23,%6605886048941453841,%❤,%Buenos días%
%2019-04-03,%09:59:37,%6605886048941453841,%❤,%Quiero ir a peset aleixandre, 110%
%2019-04-03,%09:59:45,%6605886048941453841,%❤,%Que bus cojo??%
%2019-04-03,%09:59:52,%6605886048941453841,%❤,%Estoy en la calle jativa%
%2019-04-03,%10:04:30,%6188888770478643302,%EMT VALÈNCIA,%Hola, si quieres puedes coger la línea 60 desde Guillem de Castro- Sant Agustí, y bajar en Dr Peset Aleixandre-Guardacostes%
