Date,Time,UserPhone,UserName,MessageBody
%2019-03-27,%20:36:16,%6188888770478643302,%EMT VALÈNCIA,%e2e_notification%
RUTAS
%2019-03-27,%20:36:15,%6318958044609305813,%Magda,%Hola!%
%2019-03-27,%20:36:25,%6318958044609305813,%Magda,%Que bus he de coger desde Tarongers para llegar a la Avenida Alfahuir?%
%2019-03-27,%20:38:02,%6188888770478643302,%EMT VALÈNCIA,%Buenas tardes, a que altura de la Av Alfahuir?%
%2019-03-27,%20:38:12,%6318958044609305813,%Magda,%Alfahuir 39%
%2019-03-27,%20:38:24,%6318958044609305813,%Magda,%Pero con tal de estar en la avenida me viene bien!%
%2019-03-27,%20:41:02,%6188888770478643302,%EMT VALÈNCIA,%Coja la línea 98 y baje en Primado Reig - Emilio Baró y transbordar en Jaime Roig - Primado Reig y coger al línea 70 que le llevará por la Av Alfahuir. Un slaudo%
%2019-03-27,%20:41:11,%6188888770478643302,%EMT VALÈNCIA,%Un saludo%
%2019-03-27,%20:42:40,%6318958044609305813,%Magda,%Gracias!%
%2019-03-27,%20:44:31,%6188888770478643302,%EMT VALÈNCIA,%Gracias a ti!%
